crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2021-09-02T00:00:00.000,,40.602425,-74.091354,1,Lost Consciousness
2021-09-07T00:00:00.000,BROOKLYN,40.662037,-73.95077,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BROOKLYN,40.68164,-73.98568,0,Following Too Closely
2021-09-11T00:00:00.000,MANHATTAN,40.781315,-73.94614,0,Backing Unsafely
2021-09-11T00:00:00.000,,40.74498,-73.89325,0,Unspecified
2021-08-29T00:00:00.000,,40.6117,-74.13918,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BROOKLYN,40.616295,-73.92991,0,Unsafe Speed
2021-09-11T00:00:00.000,QUEENS,40.78322,-73.84586,0,Failure to Yield Right-of-Way
2021-07-08T00:00:00.000,BRONX,40.87122,-73.83709,0,Driver Inattention/Distraction
2021-09-09T00:00:00.000,QUEENS,40.680077,-73.852684,0,Failure to Yield Right-of-Way
2021-07-06T00:00:00.000,BRONX,40.843384,-73.88987,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,,40.680023,-73.794624,0,Passing Too Closely
2021-07-06T00:00:00.000,BROOKLYN,40.72937,-73.955444,0,Obstruction/Debris
2021-07-05T00:00:00.000,BROOKLYN,40.683754,-73.88565,0,Driver Inexperience
2021-09-11T00:00:00.000,,40.70413,-73.76984,0,Turning Improperly
2021-09-11T00:00:00.000,BROOKLYN,40.609985,-73.96239,0,Unspecified
2021-07-09T00:00:00.000,BROOKLYN,40.673676,-73.86576,1,View Obstructed/Limited
2021-09-11T00:00:00.000,MANHATTAN,40.751442,-73.97606,1,Unspecified
2021-07-08T00:00:00.000,BRONX,40.86514,-73.801544,1,Unspecified
2021-09-11T00:00:00.000,QUEENS,40.72218,-73.84406,0,Passing or Lane Usage Improper
2021-09-11T00:00:00.000,MANHATTAN,40.797924,-73.9296,0,Unspecified
2021-09-05T00:00:00.000,,40.626373,-73.99754,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,,40.883133,-73.882095,1,Lost Consciousness
2021-09-11T00:00:00.000,BRONX,40.90222,-73.85589,0,Aggressive Driving/Road Rage
2021-09-10T00:00:00.000,QUEENS,40.72717,-73.78739,0,Backing Unsafely
2021-06-26T00:00:00.000,QUEENS,40.600792,-73.76711,0,Unspecified
2021-07-01T00:00:00.000,,40.84434,-73.91475,0,Unsafe Lane Changing
2021-04-16T00:00:00.000,BROOKLYN,40.67922,-73.90405,0,Unspecified
2021-09-11T00:00:00.000,MANHATTAN,40.802982,-73.93815,0,Driver Inattention/Distraction
2021-07-04T00:00:00.000,BROOKLYN,40.731544,-73.955315,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,QUEENS,40.683323,-73.80648,1,Unsafe Speed
2021-07-04T00:00:00.000,BROOKLYN,40.732006,-73.95795,1,Alcohol Involvement
2021-09-11T00:00:00.000,BROOKLYN,40.6544,-73.92044,1,Failure to Yield Right-of-Way
2021-07-02T00:00:00.000,QUEENS,40.589592,-73.786385,0,Unsafe Speed
2021-09-11T00:00:00.000,,40.736164,-73.97891,0,Traffic Control Disregarded
2021-07-03T00:00:00.000,QUEENS,40.59723,-73.76237,1,Failure to Yield Right-of-Way
2021-09-11T00:00:00.000,BROOKLYN,40.67393,-73.999954,2,Driver Inattention/Distraction
2021-09-11T00:00:00.000,,40.840153,-73.88572,0,Unsafe Speed
